GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,1996,1996,1996,AFR,Africa,KEN,Kenya,,,,180000.0,180 000 [140 000 - 230 000],140000.0,230000.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,140000.0,140 000 [110 000 - 200 000],110000.0,200000.0
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,69.0,69 [53 - 86],53.0,86.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2022,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.51,0.51 [0.27 - 0.85],0.27,0.85
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people--living-with-hiv,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,1500000.0,1 500 000 [1 400 000 - 1 700 000],1400000.0,1700000.0
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people--living-with-hiv,2003,2003,2003,AFR,Africa,KEN,Kenya,,,,1600000.0,1 600 000 [1 500 000 - 1 900 000],1500000.0,1900000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1993,1993,1993,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,11.0,11 [5.9 - 18],5.9,18.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,130000.0,130 000 [110 000 - 150 000],110000.0,150000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1998,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,6.5,6.5 [3.5 - 11],3.5,11.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2006,2006,2006,AFR,Africa,KEN,Kenya,,,,100000.0,100 000 [57 000 - 170 000],57000.0,170000.0
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people--living-with-hiv,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,1500000.0,1 500 000 [1 300 000 - 1 700 000],1300000.0,1700000.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2005,2005,2005,AFR,Africa,KEN,Kenya,,,,110000.0,110 000 [60 000 - 180 000],60000.0,180000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2005,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,3.6,3.6 [1.9 - 6],1.9,6.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,25000.0,25 000 [19 000 - 34 000],19000.0,34000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1992,1992,1992,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,9.0,9 [5.2 - 15],5.2,15.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,67000.0,67 000 [38 000 - 110 000],38000.0,110000.0
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/percentage-of-people-living-with-hiv-who-are-currently-receiving-antiretroviral-therapy-%28art%29,2006,2006,2006,AFR,Africa,KEN,Kenya,,,,8.0,8 [8 - 10],8.0,10.0
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,59297.0,59297,,
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,1993,1993,1993,AFR,Africa,KEN,Kenya,,,,120000.0,120 000 [92 000 - 150 000],92000.0,150000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1990,1990,1990,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,11.0,11 [6.2 - 19],6.2,19.0
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,538985.0,538 985,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2005,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,3.1,3.1 [1.7 - 5.2],1.7,5.2
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,41000.0,41 000 [23 000 - 70 000],23000.0,70000.0
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/percentage-of-people-living-with-hiv-who-are-currently-receiving-antiretroviral-therapy-%28art%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,60.0,60 [54 - 68],54.0,68.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,47000.0,47 000 [27 000 - 80 000],27000.0,80000.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,30000.0,30 000 [23 000 - 41 000],23000.0,41000.0
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2005,2005,2005,AFR,Africa,KEN,Kenya,,,,0.0,0 [0 - 0],0.0,0.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2023,2023,2023,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.31,0.31 [0.17 - 0.51],0.17,0.51
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/percentage-of-people-living-with-hiv-who-are-currently-receiving-antiretroviral-therapy-%28art%29,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,0.0,0 [0 - 0],0.0,0.0
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/percentage-of-people-living-with-hiv-who-are-currently-receiving-antiretroviral-therapy-%28art%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,75.0,75 [68 - 86],68.0,86.0
HIV_0000000020,Estimated number of pregnant women living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-percentage-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,90.0,90 [78 - 100],78.0,100.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,29000.0,29 000 [22 000 - 41 000],22000.0,41000.0
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-hiv-among-adults-aged-15-to-49-%28-%29,2009,2009,2009,AFR,Africa,KEN,Kenya,,,,5.4,5.4 [4.8 - 6.2],4.8,6.2
HIV_POSITIVITY,Percentage of HIV-positive results returned to people in the calendar year,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-testing-volume-and-positivity,2022,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,2.33986,2.34,,
HIV_POSITIVITY,Percentage of HIV-positive results returned to people in the calendar year,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-testing-volume-and-positivity,2022,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,2.41968,2.42,,
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,1999,1999,1999,AFR,Africa,KEN,Kenya,,,,140000.0,140 000 [120 000 - 160 000],120000.0,160000.0
HIV_POSITIVITY,Percentage of HIV-positive results returned to people in the calendar year,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-testing-volume-and-positivity,2023,2023,2023,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,1.98012,1.98,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,32000.0,32 000 [18 000 - 53 000],18000.0,53000.0
HIV_0000000020,Estimated number of pregnant women living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-percentage-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,63.0,63 [55 - 75],55.0,75.0
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,50259.0,50259,,
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,1993,1993,1993,AFR,Africa,KEN,Kenya,,,,120000.0,120 000 [99 000 - 140 000],99000.0,140000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2022,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.4,0.4 [0.22 - 0.66],0.22,0.66
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2017,2017,2017,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.96,0.96 [0.52 - 1.6],0.52,1.6
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,603997.0,603 997,,
