GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,55.6,55.6,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,0.9,0.93,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2017,2017,2017,AFR,Africa,KEN,Kenya,,,,85.7,85.7,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,0.94731,0.95,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,1.24,1.24,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,85.3,85.3,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,87.0,87,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,1.34,1.34,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,100.0,100,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,68.8,68.8,,
MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-condom-use-by-adults-during-higher-risk-sex-%2815-49%29-%28-%29,2013,2007,2013,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,37.0,37,,
MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-aged-15-24-years-with-comprehensive-correct-knowledge-of-hiv-aids-%28-%29,2013,2007,2013,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,55.0,55,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,0.93,0.93,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,63.5,63.5,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,1.14,1.14,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,1.4,1.4,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,1.58,1.58,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,74.2,74.2,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,1.25,1.25,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2017,2017,2017,AFR,Africa,KEN,Kenya,,,,1.37,1.37,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,1.23,1.23,,
MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-aged-15-24-years-with-comprehensive-correct-knowledge-of-hiv-aids-%28-%29,2013,2007,2013,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,47.0,47,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,73.0,73,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,65.6,65.6,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,81.0,81,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,44.3,44.3,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,1.2,1.2,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,71.6,71.6,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,70.3,70.3,,
MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-condom-use-by-adults-during-higher-risk-sex-%2815-49%29-%28-%29,2013,2007,2013,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,32.0,32,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,71.8,71.8,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,88.3,88.3,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,74.0,74,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,0.31,0.31,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,93.6,93.6,,
