GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2006,2006,2006,AFR,Africa,KEN,Kenya,,,,52.0,52,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,81.0,81,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,36.0,36,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,45.0,45 [23-130],23.0,130.0
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2009,2009,2009,AFR,Africa,KEN,Kenya,,,,45.0,45 [21-150],21.0,150.0
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,95.0,95,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,368.0,368,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,97.0,97,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2008,2008,2008,AFR,Africa,KEN,Kenya,,,,0.0,0,,
